# path	kind	title	year	season	episode	expectation
Inception.2010.1080p.BluRay.mkv	movie	Inception	2010	-	-	automatic
Arrival (2016) [1080p].mkv	movie	Arrival	2016	-	-	automatic
Breaking.Bad.S01E02.720p.HDTV.mkv	series	Breaking Bad	-	1	2	automatic
Chernobyl Season 1 Episode 3 1080p.mkv	series	Chernobyl	-	1	3	automatic
[SubGroup] Steins Gate - 05 [1080p].mkv	series	Steins Gate	-	-	5	automatic
Amélie.2001.1080p.BluRay.mkv	movie	Amélie	2001	-	-	automatic
Das.Boot.1981.DIRECTORS.CUT.1080p.BluRay.mkv	movie	Das Boot	1981	-	-	automatic
Dune.Part.Two.2024.2160p.WEB-DL.mkv	movie	Dune Part Two	2024	-	-	automatic
Arrival (2016)/video.mkv	movie	Arrival	2016	-	-	selection
video.mkv	unknown	-	-	-	-	manual
